"business_id","phone_number","name","full_address","latitude","longitude","review_count","rating","timezone","website","place_id","place_link","types","price_level","Wednesday","Thursday","Friday","Saturday","Sunday","Monday","Tuesday","city","verified","photos","state","description"
"0x14cab7ac1722178b:0x4caca84d0c15148d","+902122588280","Meydan Market","Gayrettepe, Meydan Market, Emirhan Cd. No:133, 34349 Beikta/stanbul, Trkiye","41.0569183","29.006211","7","3.9","Europe/Istanbul","","ChIJixciF6y3yhQRjRQVDE2orEw","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab7ac1722178b:0x4caca84d0c15148d","Grocery store","","8AM2AM","8AM2AM","8AM2AM","8AM2AM","8AM2AM","8AM2AM","8AM2AM","Beikta/stanbul, Trkiye","false","https://lh5.googleusercontent.com/p/AF1QipPtP--vqCGxQr7BMx4azGp_ufe-2apqJdCB2De2=w203-h203-k-no","Open  Closes 2AM",""
"0x14cab70f5c6a7103:0x60cf29cfd5fe0e6a","+905448033478","Nianta Mini Market","Merutiyet, Nianta Mini Market, Albay Sadi Alantar Soka No:7, 34363 ili/stanbul, Trkiye","41.055027599999995","28.9924319","2","2.5","Europe/Istanbul","https://wego.here.com/t%C3%BCrkiye/istanbul/b%C3%BCfe-24-7-bakkal/ni%C5%9Fanta%C5%9F%C4%B1-mini-market--792jx7ps-65248516d0ba0a0ca907a54651df4a49?lang=tr-tr","ChIJA3FqXA-3yhQRag7-1c8pz2A","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab70f5c6a7103:0x60cf29cfd5fe0e6a","Grocery store","","8AM12AM","8AM12AM","8AM12AM","8AM12AM","9:30AM12AM","8AM12AM","8AM12AM","ili/stanbul, Trkiye","true","https://lh5.googleusercontent.com/p/AF1QipOVQGp7bkuXTFWAAPuJ8Wel_Tfgly47E2gER-tW=w203-h152-k-no","Open  Closes 12AM",""
"0x14cab706755416f1:0xa03c705ca978460a","","Fulya Market","Merutiyet, Fulya Market, nan Kra Sk. No:36, 34363 ili/stanbul, Trkiye","41.0562262","28.993632899999998","3","4.3","Europe/Istanbul","","ChIJ8RZUdQa3yhQRCkZ4qVxwPKA","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab706755416f1:0xa03c705ca978460a","Grocery store","","8AM11PM","8AM11PM","8AM11PM","8AM11PM","8AM11PM","8AM11PM","8AM11PM","ili/stanbul, Trkiye","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ag9Gl_TYHJja5QgHS3w5YA&cb_client=search.gws-prod.gps&w=203&h=100&yaw=139.63257&pitch=0&thumbfov=100","Open  Closes 11PM",""
"0x14cab7a1b53a324f:0x18e4128d881a1540","","Yldrm Market","Trkali, Yldrm Market, 34357 Beikta/stanbul, Trkiye","41.0446349","29.002401799999998","4","3","Europe/Istanbul","","ChIJTzI6taG3yhQRQBUaiI0S5Bg","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab7a1b53a324f:0x18e4128d881a1540","Supermarket","","8AM10PM","8AM10PM","8AM10PM","8AM10PM","8AM10PM","8AM10PM","8AM10PM","Beikta/stanbul, Trkiye","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s_oHmTJPkYIbBCs5iMb3aw&cb_client=search.gws-prod.gps&w=203&h=100&yaw=15.739289&pitch=0&thumbfov=100","Open  Closes 10PM",""
"0x14cab7a3a870a213:0xf06d6fdb72c7629b","+908508080000","ok Market","Cihannma, ok Market, Mazharpaa Soka NO:5-7/A, 34353 Beikta/stanbul, Trkiye","41.0447","29.0079","54","3.6","Europe/Istanbul","https://kurumsal.sokmarket.com.tr/?utm_source=GMB&utm_medium=7369&utm_campaign=magazayonlendirme","ChIJE6JwqKO3yhQRm2LHcttvbfA","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab7a3a870a213:0xf06d6fdb72c7629b","Supermarket, Discount supermarket","","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","Beikta/stanbul, Trkiye","true","https://lh5.googleusercontent.com/p/AF1QipPWnYxFJb-YSEA_lpNzNSIeC_1cKDjKoVQ7NRDg=w203-h135-k-no","Open  Closes 9PM",""
"0x14cab7a18dfff5bf:0x363b094e9aced5c3","","Kseolu Market","Sinanpaa, Kseolu Market, ht. Asm Cd. No:34, 34353 Beikta/stanbul, Trkiye","41.0442435","29.0045289","3","4.7","Europe/Istanbul","","ChIJv_X_jaG3yhQRw9XOmk4JOzY","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab7a18dfff5bf:0x363b094e9aced5c3","Grocery store","","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Beikta/stanbul, Trkiye","false","https://lh5.googleusercontent.com/p/AF1QipN8AAFOsh-JPZAJPGSEsMsw0T0W93eiTrdx-W_B=w203-h152-k-no","Open 24 hours",""
"0x14cab75b3ce9f47f:0xd6c428a4fce9dd9c","","Avni Market","mer Avni, Avni Market, Meclis-i Mebusan Cd. No:265, 34427 Beyolu/stanbul, Trkiye","41.035407","28.993267","","","Europe/Istanbul","","ChIJf_TpPFu3yhQRnN3p_KQoxNY","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab75b3ce9f47f:0xd6c428a4fce9dd9c","Grocery store","","8:30AM5:30PM","8:30AM5:30PM","8:30AM5:30PM","8:30AM5:30PM","Closed","8:30AM5:30PM","8:30AM5:30PM","Beyolu/stanbul, Trkiye","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8C9L8tjkzSh8xFJ5gYKRqg&cb_client=search.gws-prod.gps&w=203&h=100&yaw=334.04987&pitch=0&thumbfov=100","Open  Closes 5:30PM",""
"0x14cab70908f24441:0xee5a494eeaabe7cd","+908508080000","ok","Tevikiye, ok, Poyracik Sk NO:11/B, 34365 ili/stanbul, Trkiye","41.051331999999995","28.996365599999997","4","4","Europe/Istanbul","https://kurumsal.sokmarket.com.tr/?utm_source=GMB&utm_medium=7406&utm_campaign=magazayonlendirme","ChIJQUTyCAm3yhQRzeer6k5JWu4","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab70908f24441:0xee5a494eeaabe7cd","Supermarket, Discount supermarket","","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","9AM9PM","ili/stanbul, Trkiye","true","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dBWM_jtII8KJtMQ6mnauWg&cb_client=search.gws-prod.gps&w=203&h=100&yaw=189.42014&pitch=0&thumbfov=100","Open  Closes 9PM",""
"0x14cab7a91a3411bf:0x8d3813aebb4b113f","+905538674020","REYMAR MARKET","Dikilita, REYMAR MARKET, Cami Meydan Sk. No:13, 34349 Beikta/stanbul, Trkiye","41.055008","29.0034988","8","4.3","Europe/Istanbul","","ChIJvxE0Gqm3yhQRPxFLu64TOI0","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab7a91a3411bf:0x8d3813aebb4b113f","Supermarket","","8AM11:30PM","8AM11:30PM","8AM11:30PM","8AM11:30PM","8AM11:30PM","8AM11:30PM","8AM11:30PM","Beikta/stanbul, Trkiye","true","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gklqP2zMgAyG7WJ_DZi9fQ&cb_client=search.gws-prod.gps&w=203&h=100&yaw=75.028275&pitch=0&thumbfov=100","Open  Closes 11:30PM",""
"0x14cab7092b018fff:0x5d150ad22792258c","","Gl Market","Tevikiye, Gl Market, Gzelbahe Sk. No:6A, 34365 ili/stanbul, Trkiye","41.052546899999996","28.993776999999998","","","Europe/Istanbul","","ChIJ_48BKwm3yhQRjCWSJ9IKFV0","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x14cab7092b018fff:0x5d150ad22792258c","Grocery store","","8AM10PM","8AM10PM","8AM10PM","8AM10PM","8AM10PM","8AM10PM","8AM10PM","ili/stanbul, Trkiye","false","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vWLTH8HhVdAe9miBTiLAsw&cb_client=search.gws-prod.gps&w=203&h=100&yaw=127.429886&pitch=0&thumbfov=100","Open  Closes 10PM",""
