"id","source","target","cost","reverse_cost","the_geom"
3,5,6,"105.61446484269459","105.61446484269459","0102000020E6100000080000006268757286063D4020370D9B128644407C04A33781063D40DD7D8E8F16864440671C34057C063D40BDB497231A864440751E15FF77063D4063BF828F1C8644405C3D27BD6F063D401943948A21864440DE12CA0C65063D403E76172829864440284701A260063D40F0B8F2A32B864440C44549A35D063D409539A7A32D864440"
4,7,8,"133.3383671740105","133.3383671740105","0102000020E610000007000000E0C61CBA8FFC3C40D04B20802F8544406199C81693FC3C409A1EB9DA2F854440B9ECC67196FC3C40E71725E82F8544402EC901BB9AFC3C407C7BD7A02F854440D3EEA18ED8FC3C40A397ACE5298544404C20802FE0FC3C40D968EF422985444047191648F5FC3C40332ABA3F28854440"
5,9,10,"110.41737678096763","110.41737678096763","0102000020E610000006000000EDF71FF4C7FB3C40CC1940AEC3844440946DE00ED4FB3C402927350FBB8444404C1D3FAFD3FB3C40DD7BB8E4B884444029CE5147C7FB3C40A383E453B68444407EBB3665B8FB3C4080CDDEBEB38444405AD3612AA2FB3C404DC68C4BB0844440"
6,11,12,"183.80131207899515","183.80131207899515","0102000020E61000000A0000005863BFDD48FD3C40701AEC9799844440EFAD484C50FD3C40147BC3D89D844440610212A859FD3C406C860AC4A18444400FEECEDA6DFD3C401BD1E231A884444073F8FFCC7BFD3C40E920F994AD844440880849B082FD3C40708802C7AF844440E49C7D8A88FD3C405EA10F96B1844440A7CCCD37A2FD3C40A8B0ADFAB78444400726378AACFD3C40482C7304BA844440E51C86A0B4FD3C406AE27899BC844440"
7,13,14,"97.28747385744127","97.28747385744127","0102000020E6100000090000007E6A61BB20013D40DE86623C94884440ABC2B00D26013D40B32F8FEB95884440144D56FB2A013D40D09E268E97884440A45EA6DC33013D40E630A9EB9A8844408E03AF963B013D403851A62C9E884440F595517644013D40728BF9B9A1884440087250C24C013D40FF53162AA48844404C06369D53013D4034057CC8A58844403222516859013D40041F8315A7884440"
8,15,16,"242.90499286110014","242.90499286110014","0102000020E6100000170000005506C4DACE033D40361257845188444038B1D183CC033D40229BF573548844407BC03C64CA033D40F1F0434A58884440A52B7D8DC9033D401E21B9EB5B884440B6F292FFC9033D4028EBDC5960884440868263E0CA033D402C9CA4F963884440FC92E8C0CD033D40AD82BD2E68884440AC6D2F0ED3033D402DAB55606D8844405C48765BD8033D4037D19D1672884440C696D4BFDA033D402F3608CE74884440772167ABDC033D40B76FFFDB7688444047C5A464DE033D409231885979884440BD512B4CDF033D400E61A17B7B88444076B9D27CDF033D40BFFFA03F7E884440B74C3C56DF033D40D6ABC8E880884440AC76A801DE033D4099E3CBFA838844408F352383DC033D4050FD8348868844403752B648DA033D4067D7BD158988444033593739D7033D402A2966738B884440164CFC51D4033D401199A8948D88444085D21742CE033D409E190E9590884440EC1FFAA4C9033D40F19B679192884440C5707500C4033D40E4E7757A94884440"
9,17,18,"210.31133864807134","210.31133864807134","0102000020E610000012000000D3E352F06F033D409A18DC20A48844402FFF7CB669033D406CCEC133A18844408721286D60033D4050093EBC9D8844408640892A57033D405DA9C2FA9A884440D9356B3A4C033D40593A7A57988844408A5B60EA42033D403698E19A96884440B2C524123B033D4048652F8095884440C87C40A033033D40199F138C94884440D81A00602B033D40C6BA5DD4938844409516896423033D40CC35165E93884440DB858B811A033D40F0259EFD92884440998D846C0F033D40F62A8DF39288444009B07E2205033D40CDABDFF1928844404A969350FA023D40FC8BA03193884440C5CA68E4F3023D40CC35165E938844406F6F6D97EC023D405519219793884440AF91C94EE4023D40D2F24DE493884440B4FDD071DA023D40A8A1B20694884440"
10,19,20,"197.73537765321547","197.73537765321547","0102000020E61000000D0000002ABD80A845023D4099BE32CA8E884440EA3E00A94D023D404C55359C8D884440001C7BF65C023D40BEFCA94C8C884440B4290DEB7C023D403C94579D8B88444068D201A491023D400C2A60F18A884440C63368E89F023D404E33935E8A88444095F48B6DAD023D402B775556898844407A3881E9B4023D40EACF7EA488884440E1A24918BC023D409733805C87884440CC1F7821C2023D40332C90EA85884440038AA251CB023D40A5F3E15982884440B4F4577ECF023D408FD1F01C80884440FA241C1FD2023D40CB097F2B7E884440"
11,20,21,"306.14392636699705","306.14392636699705","0102000020E610000018000000FA241C1FD2023D40CB097F2B7E884440305BFCB7DC023D401644EE3378884440A930B610E4023D40B31A5C8473884440BE74498BE9023D401AAABDE36F88444098CE3DDAEE023D405744A8AD6C8844403C9FA63BF4023D4047E5266A69884440C8FF2E7DF9023D40A250059266884440598D806500033D40338D261763884440FD71569F06033D4081EE265360884440AB88E4750E033D40A77455455D884440E83FB50B17033D40E3F49AC35A884440EB9C55551E033D406D54A70359884440EC6987BF26033D40B6204A6A57884440ED5E93DA30033D40CEC4742156884440D15AD1E638033D405161116855884440E32A604C44033D406F1E98ED548844407ABDA02A4B033D40EC6D8ECE548844400B033BA352033D40C9F3CFC254884440F924C1655F033D40D4B5F63E55884440178F9C9669033D407B9807FA558844402A37514B73033D4009C38025578844404A09C1AA7A033D402CADD05158884440B7D49C1782033D40A8C87C9B598844407EB72F568A033D403CB02D4D5B884440"
12,21,22,"62.22654441144042","62.22654441144042","0102000020E6100000070000007EB72F568A033D403CB02D4D5B884440C8282A768F033D40C5A7A55E5C884440C580DBC996033D409AACF6555E884440C7F1E8EB9E033D400AD2318C60884440B817E2A2A4033D4086A5266662884440C13D2A59A9033D40682A1FDD63884440AC2AEA82B0033D40A855F48766884440"
13,22,23,"227.290683132099","227.290683132099","0102000020E61000001A000000AC2AEA82B0033D40A855F48766884440301EEF9FB8033D40ACD8A9036A88444004BBAB68BD033D406FFC3F3D6C8844400824BC98C1033D40445DB57C6E8844409AF9C4F0C7033D40C5CD041E73884440BCAFCA85CA033D40EE5AE784758844405C1723B7CB033D4082E673EE7688444014EF5B08CD033D40E64988A8788844401A08B8D6CD033D40FD6B79E57A8844400E5AFE32CE033D4013BC7C467D88444002502047CE033D407D38EDCE7F884440200DA7CCCD033D404C1EAA8482884440EBB76576CC033D40DFFF22C3858844406308A5D4CA033D4061EC736B888844407BF486FBC8033D40186250018B88444011BA956FC7033D4047E0B4858C88444012369776C5033D40B77BB94F8E884440FC2D4B85C2033D4098B8FA569088444086C1A15CBF033D40A94BC63192884440D051FD39BB033D40C672A664948844406D286B8AB6033D40245B0295968844407C5E961BB1033D40230D13B2988844405BFCB7DCAA033D40F86D88F19A8844409912A4ADA5033D405023E3079D884440C070F8EEA0033D40553607639F884440BB8BE6B79E033D4019181EA0A0884440"
14,24,25,"373.42430394335526","373.42430394335526","0102000020E61000000A000000F777B6476FFA3C40829F820D9984444062D68BA19CFA3C40202345099F844440A8323102CFFA3C40BD8C62B9A5844440E004F060D5FA3C40BDA0CF91A6844440B34B0AE2F2FA3C40BC52E0AEA88444401598045E1CFB3C406101A7D2AA844440753FA7203FFB3C40EE0B433FAE8444409F91088D60FB3C40BCEBC781B284444098929B9779FB3C405B75C2F0B6844440459DB98784FB3C4095B54DF1B8844440"
15,26,27,"194.5550414563894","194.5550414563894","0102000020E6100000140000002C38729307F83C40A2670EA4E6864440FA731B1E0CF83C403242D36DE4864440D92E23AB11F83C409F8E6C53E1864440BE16F4DE18F83C4066B67581DC86444075BAE2981BF83C40019B1837DA86444020F8CE1E1EF83C407A05FDE0D786444007D8A26021F83C400B5CC3B1D3864440FA3D569522F83C4072A36DA1D0864440E23D079623F83C40DF37BEF6CC864440F44CD47723F83C402E3D9AEAC9864440BFAFDBB122F83C4017ED9689C78644402B3EF49320F83C409071207FC4864440916BF9371EF83C40C0E78711C2864440DA0FC2ED1AF83C4050F05EFFBF8644403533E9A518F83C402D060FD3BE864440FD602A4712F83C403487FFCFBC86444017450F7C0CF83C40D0DB33A6BB864440EB200AC105F83C408E345DF4BA8644401FDD6344FDF73C40CAC2D7D7BA8644405ECB7564F6F73C406BE8B00CBB864440"
16,28,29,"232.2417971587357","232.2417971587357","0102000020E6100000110000009535A094FFF73C4060F536ECAD8644402C55585F13F83C4080290307B4864440CE1951DA1BF83C40968D7340B7864440FBCDC47421F83C40187AC4E8B98644409A1540E724F83C401DE90C8CBC864440CDA6C8C628F83C401B95E535C0864440EF1417EC2BF83C402431F77FC4864440AD4D637B2DF83C4034D2F7BFC8864440C51968E32DF83C40D960E124CD864440019475EE2CF83C40B3C00DE7D0864440EA57DF652BF83C408DF22785D48644406E56D86729F83C404A253CA1D7864440F845538726F83C40E9E280A7DA8644406BB180AE22F83C40A03EB8F1DD864440B0485D7C1BF83C40F1FC5877E2864440B4A8F4B814F83C400DC2DCEEE586444082DB24500EF83C401EC539EAE8864440"
